abandon,"vt.放弃,遗弃;n.放任,狂热"
brilliant,"adj.灿烂的,闪耀的,有才气的"
chemical,"adj.化学的;n.化学制品,化学药品;n.化学药品"
complaint,"n.诉苦,抱怨,牢骚,委屈,疾病"
broom,"n.扫帚,[植]金雀花;vt.扫除"
chemist,"n.化学家,药剂师"
complex,"adj.复杂的,合成的,综合的;n.联合体"
brow,"n.眉毛,额,(面部)表情"
chest,"n.胸腔,胸膛,箱,柜"
complicated,"adj.复杂的,难解的"
bubble,"n.泡沫,幻想的计划;vi.起泡,潺潺的流"
chew,"vt.咀爵(食物等);v.咀嚼,认真考虑"
component,"n.成分;adj.组成的,构成的"
bucket,"n.桶,一桶的量,[桶状物]铲斗"
chief,"n.首领,领袖,酋长,长官,主要部分,最有价值的部分;adj.主要的,首要的,首席的,主任的"
compose,"v.组成,写作,排字,(使)安定,调解"
budget,"n.预算;vi.做预算,编入预算"
childhood,n.孩童时期
compound,"n.混合物,[化]化合物;adj.复合的;v.混合,配合"
bulb,"n.鳞茎,球形物"
chill,"n.寒意,寒战,寒心;adj.寒冷的,扫兴的;v.使冷,变冷,冷藏"
comprehension,"n.理解,包含"
bulk,"n.大小,体积,大批,大多数,散装;vt.显得大,显得重要"
chin,"n.下巴,颚"
comprehensive,"adj.全面的,广泛的,能充分理解的,包容的"
bullet,n.子弹
chip,"n.碎片,筹码,芯片;v.削成碎片,碎裂"
compress,"vt.压缩,摘要叙述;n.(外科)敷布"
bump,"n.撞击,肿块;v.碰(伤),撞(破),颠簸"
choke,"v.窒息,哽住,使呼吸困难,阻塞;n.窒息,阻气门"
comprise,"v.包含,由...组成"
bunch,"n.串,束v.捆成一束"
chop,"n.砍,排骨,官印,商标;vt.剁碎,砍,(风浪)突变"
compromise,"n.妥协,折衷;v.妥协,折衷,危及...的安全"
bundle,"n.捆,束,包;v.捆扎"
Christ,n.[基督教]救世主(特指耶稣基督)
conceal,"vt.隐藏,隐蔽,隐瞒;v.隐蔽"
burden,"n.担子,负担;v.负担"
Christian,"n.基督徒,信徒;adj.基督教的,信基督教的"
concede,"vt.勉强,承认,退让;vi.让步"
bureau,"n.办公桌,衣柜;<美>局,办公署"
cigar,n.雪茄
concentrate,"v.集中,浓缩"
burst,"v.爆裂,炸破,急于,爆发;n.突然破裂,爆发,脉冲"
cigarette,"n.香烟,纸烟"
concentration,"n.集中,集合,专心,浓缩,浓度"
butcher,"n.屠夫,屠户;vt.屠宰,屠杀"
circuit,"n.电路,一圈,周游,巡回"
concept,"n.观念,概念"
butterfly,"n.[动]蝴蝶,蝶泳"
circular,"adj.圆形的,循环的;n.函件,通知"
concern,"vt.涉及,关系到;n.(利害)关系,关心,关注,关注,所关心的是"
cabbage,"n.[植]甘蓝,卷心菜"
circulate,"v.(使)流通,(使)运行,(使)循环,(使)传播"
concerning,prep.关于
cabin,"n.小屋,船舱"
circumstance,"n.环境,详情,境况"
concession,n.让步
cabinet,"n.(有抽屉或格子的)橱柜,<美>内阁;adj.<美>内阁的,小巧的"
cite,"vt.引用,引证,提名表扬"
conclude,"v.结束,终止,决定,作出结论;vt.推断,断定,缔结,议定"
cable,"n.电缆,海底电报,缆,索;v.打(海底)电报"
civil,"adj.全民的,市民的,公民的,国民的,民间的.民事的,根据民法的,文职的,有礼貌的"
conclusion,"n.结束,缔结,结论"
calculate,"v.计算,考虑,计划,打算;v.<美>以为,认为"
civilian,"n.平民,公务员,文官;adj.民间的,民用的"
concrete,"adj.具体的,有形的;n.混凝土;v.用混凝土修筑,浇混凝土,凝结"
calculator,"n.计算机,计算器"
civilization,"n.文明,文化,文明社会,文明,一个著名游戏的名称"
condemn,"vt.判刑,处刑,声讨,谴责"
calendar,"n.日历,历法"
civilize,"vt.使开化,使文明,教化"
condense,"v.(使)浓缩,精简"
calm,"adj.(天气、海洋等)静的,平静的,镇静的,沉着的;v.(使)平静,(使)镇定,平息"
claim,"n.(根据权利提出)要求,要求权,主张,要求而得到的东西;vt.(根据权利)要求,认领,声称,主张,需要"
condition,"n.条件,情形,环境,社会地位;vt.以...为条件,使达到要求的情况"
camel,"n.骆驼,[船](打捞用的)浮筒"
clap,"n.拍手声,霹雳声;v.鼓掌,轻拍"
conduct,"n.行为,操行;v.引导,管理,为人,传导"
campaign,"n.[军]战役,(政治或商业性)活动,竞选运动;vi.参加活动,从事活动,作战"
clarify,"v.澄清,阐明"
conductor,"n.领导者,经理,指挥管弦乐队、合唱队的,(市内有轨电车或公共汽车)售票员,<美>列车长"
campus,"n.<美>校园,大学教育"
clash,"n.冲突,撞击声,抵触;v.(使)发出撞击声,猛撞,冲突"
conference,"n.会议,讨论会,协商会"
canal,"n.运河,小道,导管,槽,沟渠;vt.开运河"
classic,"n.杰作,名著;adj.第一流的"
confess,"v.承认,坦白,忏悔"
cancel,"vt.取消,删去"
classical,"adj.古典的,正统派的,古典文学的"
confidence,n.信心
cancer,"n.癌,毒瘤"
classification,"n.分类,分级"
confident,"adj.自信的,确信的"
candidate,"n.候选人,投考者"
classify,"vt.分类,分等"
confine,"vt.限制,禁闭;n.界限,边界"
candy,"n.糖果,冰糖;v.蜜饯,糖煮(水果)"
clause,"n.子句,条款"
confirm,"vt.确定,批准,使巩固,使有效;v.确认,(基督教中)给...行按手礼"
capable,"adj.有能力的,能干的,有可能的,可以...的"
claw,"n.爪,脚爪;v.抓"
conflict,"n.斗争,冲突;vi.抵触,冲突"
capacity,"n.容量,生产量,容量,智能,才能,能力,接受力,地位"
clay,"n.粘土,泥土,肉体,人体,似黏土的东西,陶土制的烟斗"
confront,"vt.使面临,对抗"
confuse,"vt.搞乱,使糊涂"
crawl,"vi.爬行,蠕动,徐徐行进;n.爬行,蠕动,缓慢的行进"
dependent,"adj.依靠的,依赖的,由...决定的,随...而定的"
confusion,"n.混乱,混淆"
create,"vt.创造,创作,引起,造成"
deposit,"n.堆积物,沉淀物,存款,押金,保证金,存放物;vt.存放,堆积;vi.沉淀"
congratulate,"vt.祝贺,庆贺,恭喜"
creative,adj.创造性的
depress,"vt.使沮丧,使消沉,压下,压低,使不活泼,使萧条;v.压下"
congratulation,"n.祝词,贺辞"
creature,"n.人,动物,傀儡,创造物"
depression,"n.沮丧,消沉,低气压,低压"
congress,"n.(代表)大会,[C～](美国等国的)国会,议会"
credit,"n.信任,信用,声望,荣誉,[财务]贷方,银行存款:vt.相信,信任,把...归给"
deputy,"n.代理人,代表"
conjunction,"n.联合,关联,连接词"
creep,"vi.爬,蹑手蹑脚,蔓延"
derive,vt.得自;vi.起源
connect,"v.连接,联合,关连"
crew,"n.全体人员,(工作)队;vbl.crow的过去式"
descend,"vi.下来,下降,遗传(指财产,气质,权利),突击,出其不意的拜访;v.下去"
connection,"n.连接,关系,接线,线路,亲戚"
crime,"n.犯罪,犯罪行为,罪行,罪恶"
describe,"vt.描写,记述,形容,形容;v.描述"
connexion,"n.联系,连结"
criminal,"n.罪犯,犯罪者;adj.犯罪的,犯法的,罪恶的"
deserve,"vt.应受,值得;v.应受"
conquer,"vt.征服,战胜,占领,克服(困难等),破(坏习惯等)"
crisis,"n.疾病的转折点(或转好或恶化),决定性时刻,危机,危险期,历史上的紧要关头,[医]危象,转换期"
design,"n.设计,图案,花样,企图,图谋,(小说等的)构思,纲要;v.设计,计划,谋划,构思"
conquest,n.征服;n.战利品
critic,"n.批评家,评论家,吹毛求疵者"
desirable,"adj.值得要的,合意的,令人想要的,悦人心意的"
conscience,"n.良心,道德心"
critical,"adj.评论的,鉴定的,批评的,危急的,临界的"
desire,"vt.想望,期望,希望,请求(官方丈礼);n.愿望,心愿,要求;v.要求"
conscious,"adj.有意识的,有知觉的,故意的,羞怯的"
criticism,"n.批评,批判"
despair,"n.绝望,失望,令人失望的人(事物);vi.绝望"
consent,"vi.同意,赞成,答应;n.同意,赞成,允诺"
criticize,"v.批评,责备"
desperate,"adj.不顾一切的,拚死的,令人绝望的"
consequence,"n.结果,[逻]推理,推论,因果关系,重要的地位"
crossing,"v.横越;n.横越,交叉口"
despite,"prep.不管,尽管,不论"
consequently,"adv.从而,因此"
crowd,"n.人群,群众,一堆(东西),一伙;v.群集,拥挤,挤满"
dessert,n.餐后甜点
conservation,"n.保存,保持,守恒"
crown,"n.王冠,花冠,顶;vt.加冕,顶上有,表彰,使圆满完成"
destination,"n.目的地,[计]目的文件,目的单元格"
conservative,"adj.保守的,守旧的;n.保守派"
crucial,adj.至关紧要的
destruction,"n.破坏,毁灭"
considerable,"adj.相当大(或多)的,值得考虑的,相当可观的"
crude,"adj.天然的,未加工的,粗糙的,拙劣的,粗鲁的;n.天然的物质"
